player_id,name,year,league,reason
"1005112","田中　靖洋","2021","PL","NOT_FETCHED_FROM_NPB"
"1005130","髙濱　祐仁","2021","PL","NOT_FETCHED_FROM_NPB"
"1005133","千賀　滉大","2021","PL","NOT_FETCHED_FROM_NPB"
"1005135","武田　翔太","2021","PL","NOT_FETCHED_FROM_NPB"
"1005136","高橋　礼","2021","PL","NOT_FETCHED_FROM_NPB"
"1005137","東浜　巨","2021","PL","NOT_FETCHED_FROM_NPB"
"1005138","土居　豪人","2021","PL","NOT_FETCHED_FROM_NPB"
"1005153","佐々木　健","2021","PL","NOT_FETCHED_FROM_NPB"
"1105134","池田　隆英","2021","PL","NOT_FETCHED_FROM_NPB"
"1105138","泉　圭輔","2021","PL","NOT_FETCHED_FROM_NPB"
"1105153","阿部　翔太","2021","PL","NOT_FETCHED_FROM_NPB"
"1205130","戸川　大輔","2021","PL","NOT_FETCHED_FROM_NPB"
"1205134","田村　伊知郎","2021","PL","NOT_FETCHED_FROM_NPB"
"1205138","中村　稔弥","2021","PL","NOT_FETCHED_FROM_NPB"
"1205153","高田　孝一","2021","PL","NOT_FETCHED_FROM_NPB"
"1305139","内田　靖人","2021","PL","NOT_FETCHED_FROM_NPB"
"1305151","上野　響平","2021","PL","NOT_FETCHED_FROM_NPB"
"1405136","西村　凌","2021","PL","NOT_FETCHED_FROM_NPB"
"1405139","森　唯斗","2021","PL","NOT_FETCHED_FROM_NPB"
"1505114","大嶺　祐太","2021","PL","NOT_FETCHED_FROM_NPB"
"1505130","笠谷　俊介","2021","PL","NOT_FETCHED_FROM_NPB"
"1505132","オコエ　瑠偉","2021","PL","NOT_FETCHED_FROM_NPB"
"1505136","北浦　竜次","2021","PL","NOT_FETCHED_FROM_NPB"
"1505137","金子　侑司","2021","PL","NOT_FETCHED_FROM_NPB"
"1505151","大関　友久","2021","PL","NOT_FETCHED_FROM_NPB"
"1605132","平沼　翔太","2021","PL","NOT_FETCHED_FROM_NPB"
"1605133","美馬　学","2021","PL","NOT_FETCHED_FROM_NPB"
"1605136","福田　周平","2021","PL","NOT_FETCHED_FROM_NPB"
"1705130","栗原　陵矢","2021","PL","NOT_FETCHED_FROM_NPB"
"1705131","国吉　佑樹","2021","PL","NOT_FETCHED_FROM_NPB"
"1705137","下妻　貴寛","2021","PL","NOT_FETCHED_FROM_NPB"
"1805151","武藤　敦貴","2021","PL","NOT_FETCHED_FROM_NPB"
"1905130","佐野　泰雄","2021","PL","NOT_FETCHED_FROM_NPB"
"1905133","斎藤　佑樹","2021","PL","NOT_FETCHED_FROM_NPB"
"1905134","澤田　圭佑","2021","PL","NOT_FETCHED_FROM_NPB"
"1905138","鈴木　翔天","2021","PL","NOT_FETCHED_FROM_NPB"
"1905151","黒川　史陽","2021","PL","NOT_FETCHED_FROM_NPB"
"3105132","横尾　俊建","2021","PL","NOT_FETCHED_FROM_NPB"
